ssyk2012_4	year	daioe_allapps	daioe_stratgames	daioe_videogames	daioe_imgrec	daioe_imgcompr	daioe_imggen	daioe_readcompr	daioe_lngmod	daioe_translat	daioe_speechrec	daioe_genai	pctl_rank_allapps	pctl_rank_stratgames	pctl_rank_videogames	pctl_rank_imgrec	pctl_rank_imgcompr	pctl_rank_imggen	pctl_rank_readcompr	pctl_rank_lngmod	pctl_rank_translat	pctl_rank_speechrec	pctl_rank_genai	ssyk2012_1	ssyk2012_2	ssyk2012_3
0110 Officerare	2010																							0 Militära yrken	01 Officerare	011 Officerare
0110 Officerare	2011																							0 Militära yrken	01 Officerare	011 Officerare
0110 Officerare	2012																							0 Militära yrken	01 Officerare	011 Officerare
0110 Officerare	2013																							0 Militära yrken	01 Officerare	011 Officerare
0110 Officerare	2014																							0 Militära yrken	01 Officerare	011 Officerare
0110 Officerare	2015																							0 Militära yrken	01 Officerare	011 Officerare
0110 Officerare	2016																							0 Militära yrken	01 Officerare	011 Officerare
0110 Officerare	2017																							0 Militära yrken	01 Officerare	011 Officerare
0110 Officerare	2018																							0 Militära yrken	01 Officerare	011 Officerare
0110 Officerare	2019																							0 Militära yrken	01 Officerare	011 Officerare
0110 Officerare	2020																							0 Militära yrken	01 Officerare	011 Officerare
0110 Officerare	2021																							0 Militära yrken	01 Officerare	011 Officerare
0110 Officerare	2022																							0 Militära yrken	01 Officerare	011 Officerare
0110 Officerare	2023																							0 Militära yrken	01 Officerare	011 Officerare
0210 Specialistofficerare	2010																							0 Militära yrken	02 Specialistofficerare	021 Specialistofficerare
0210 Specialistofficerare	2011																							0 Militära yrken	02 Specialistofficerare	021 Specialistofficerare
0210 Specialistofficerare	2012																							0 Militära yrken	02 Specialistofficerare	021 Specialistofficerare
0210 Specialistofficerare	2013																							0 Militära yrken	02 Specialistofficerare	021 Specialistofficerare
0210 Specialistofficerare	2014																							0 Militära yrken	02 Specialistofficerare	021 Specialistofficerare
0210 Specialistofficerare	2015																							0 Militära yrken	02 Specialistofficerare	021 Specialistofficerare
0210 Specialistofficerare	2016																							0 Militära yrken	02 Specialistofficerare	021 Specialistofficerare
0210 Specialistofficerare	2017																							0 Militära yrken	02 Specialistofficerare	021 Specialistofficerare
0210 Specialistofficerare	2018																							0 Militära yrken	02 Specialistofficerare	021 Specialistofficerare
0210 Specialistofficerare	2019																							0 Militära yrken	02 Specialistofficerare	021 Specialistofficerare
0210 Specialistofficerare	2020																							0 Militära yrken	02 Specialistofficerare	021 Specialistofficerare
0210 Specialistofficerare	2021																							0 Militära yrken	02 Specialistofficerare	021 Specialistofficerare
0210 Specialistofficerare	2022																							0 Militära yrken	02 Specialistofficerare	021 Specialistofficerare
0210 Specialistofficerare	2023																							0 Militära yrken	02 Specialistofficerare	021 Specialistofficerare
0310 Soldater m.fl.	2010																							0 Militära yrken	03 Soldater m.fl.	031 Soldater m.fl.
0310 Soldater m.fl.	2011																							0 Militära yrken	03 Soldater m.fl.	031 Soldater m.fl.
0310 Soldater m.fl.	2012																							0 Militära yrken	03 Soldater m.fl.	031 Soldater m.fl.
0310 Soldater m.fl.	2013																							0 Militära yrken	03 Soldater m.fl.	031 Soldater m.fl.
0310 Soldater m.fl.	2014																							0 Militära yrken	03 Soldater m.fl.	031 Soldater m.fl.
