ssyk96_4	year	daioe_allapps	daioe_stratgames	daioe_videogames	daioe_imgrec	daioe_imgcompr	daioe_imggen	daioe_readcompr	daioe_lngmod	daioe_translat	daioe_speechrec	daioe_genai	pctl_rank_allapps	pctl_rank_stratgames	pctl_rank_videogames	pctl_rank_imgrec	pctl_rank_imgcompr	pctl_rank_imggen	pctl_rank_readcompr	pctl_rank_lngmod	pctl_rank_translat	pctl_rank_speechrec	pctl_rank_genai	ssyk96_1	ssyk96_2	ssyk96_3
0110 Militärer	2010																							0 Militärt arbete	01 Militärt arbete	011 Militärer
0110 Militärer	2011																							0 Militärt arbete	01 Militärt arbete	011 Militärer
0110 Militärer	2012																							0 Militärt arbete	01 Militärt arbete	011 Militärer
0110 Militärer	2013																							0 Militärt arbete	01 Militärt arbete	011 Militärer
0110 Militärer	2014																							0 Militärt arbete	01 Militärt arbete	011 Militärer
0110 Militärer	2015																							0 Militärt arbete	01 Militärt arbete	011 Militärer
0110 Militärer	2016																							0 Militärt arbete	01 Militärt arbete	011 Militärer
0110 Militärer	2017																							0 Militärt arbete	01 Militärt arbete	011 Militärer
0110 Militärer	2018																							0 Militärt arbete	01 Militärt arbete	011 Militärer
0110 Militärer	2019																							0 Militärt arbete	01 Militärt arbete	011 Militärer
0110 Militärer	2020																							0 Militärt arbete	01 Militärt arbete	011 Militärer
0110 Militärer	2021																							0 Militärt arbete	01 Militärt arbete	011 Militärer
0110 Militärer	2022																							0 Militärt arbete	01 Militärt arbete	011 Militärer
0110 Militärer	2023																							0 Militärt arbete	01 Militärt arbete	011 Militärer
1110 Högre ämbetsmän och politiker	2010	.24246101	.076826334		.023576558						.003809425		52.41	39.060001		46.450001						62.07		1 Ledningsarbete	11 Politiskt arbete m.m.	111 Högre ämbetsmän och politiker
1110 Högre ämbetsmän och politiker	2011	.4060955	.15288535		.028071247						.0076188501		52.98	39.060001		46.450001						62.07		1 Ledningsarbete	11 Politiskt arbete m.m.	111 Högre ämbetsmän och politiker
1110 Högre ämbetsmän och politiker	2012	.6122449	.16526043		.072172329				.000515992		.019750971	.000515992	53.549999	39.060001		46.450001				67.470001		62.07	67.470001	1 Ledningsarbete	11 Politiskt arbete m.m.	111 Högre ämbetsmän och politiker
1110 Högre ämbetsmän och politiker	2013	2.7095151	.17763551	1.046422	.1023461				.0014421188		.031883094	.0014421188	3.55	39.060001	3.27	46.450001				67.470001		62.07	67.470001	1 Ledningsarbete	11 Politiskt arbete m.m.	111 Högre ämbetsmän och politiker
1110 Högre ämbetsmän och politiker	2014	4.4858398	.19001058	1.6692214	.13381986			.0031827411	.0124987		.040676098	.0124987	3.8399999	39.060001	3.27	46.450001			69.739998	67.470001		62.07	67.470001	1 Ledningsarbete	11 Politiskt arbete m.m.	111 Högre ämbetsmän och politiker
1110 Högre ämbetsmän och politiker	2015	8.0176992	.20349485	2.2920208	.16925302		.026641963	.0053482521	.022632474	.0031492217	.21697183	.082125895	7.2399998	39.060001	3.27	46.450001		68.32	69.739998	67.470001	66.050003	62.07	70.599998	1 Ledningsarbete	11 Politiskt arbete m.m.	111 Högre ämbetsmän och politiker
1110 Högre ämbetsmän och politiker	2016	12.93185	.25263786	2.4689112	.17298438	.046119124	.34506232	.14005174	.037619386	.0089230239	.24573213	.55364865	26.85	39.060001	3.27	46.450001	59.799999	68.32	69.739998	67.470001	66.050003	62.07	68.610001	1 Ledningsarbete	11 Politiskt arbete m.m.	111 Högre ämbetsmän och politiker
1110 Högre ämbetsmän och politiker	2017	13.45542	.25431821	2.4848783	.19263107	.063630134	.34511125	.14387906	.040268321	.01288535	.25586274	.55706632	29.4	39.060001	3.27	46.450001	59.799999	68.32	69.739998	67.470001	66.050003	62.07	68.610001	1 Ledningsarbete	11 Politiskt arbete m.m.	111 Högre ämbetsmän och politiker
1110 Högre ämbetsmän och politiker	2018	15.789456	.25445902	2.8467894	.20404309	.063662849	.40807128	.15123582	.095600389	.017840324	.28146452	.79336518	31.110001	39.060001	3.27	46.450001	59.799999	68.32	69.739998	67.470001	66.050003	62.07	69.739998	1 Ledningsarbete	11 Politiskt arbete m.m.	111 Högre ämbetsmän och politiker
1110 Högre ämbetsmän och politiker	2019	20.626396	.2545329	3.5802174	.26809907	.068700217	.4551481	.20367709	.13702688	.034510456	.33548388	.97016191	32.810001	39.060001	3.27	46.450001	59.799999	68.32	69.739998	67.470001	66.050003	62.07	70.029999	1 Ledningsarbete	11 Politiskt arbete m.m.	111 Högre ämbetsmän och politiker
1110 Högre ämbetsmän och politiker	2020	23.128395	.25456858	3.6027179	.32765734	.081611142	.54689705	.20645383	.33698481	.038139388	.37771252	1.5326734	41.34	39.060001	3.27	46.450001	59.799999	68.32	69.739998	67.470001	66.050003	62.07	70.599998	1 Ledningsarbete	11 Politiskt arbete m.m.	111 Högre ämbetsmän och politiker
1110 Högre ämbetsmän och politiker	2021	25.411869	.25465018	3.6061487	.38741076	.1444564	.7037313	.21806473	.40450209	.039749824	.39870632	1.9627626	47.59	39.060001	3.27	46.450001	59.799999	68.32	69.739998	67.470001	66.050003	62.07	70.599998	1 Ledningsarbete	11 Politiskt arbete m.m.	111 Högre ämbetsmän och politiker
1110 Högre ämbetsmän och politiker	2022	27.85594	.25465026	3.6166885	.40030047	.16473575	.73581207	.25859249	.79277223	.040529858	.42873919	2.6062524	50.43	39.060001	3.27	46.450001	59.799999	68.32	69.739998	67.470001	66.050003	62.07	70.599998	1 Ledningsarbete	11 Politiskt arbete m.m.	111 Högre ämbetsmän och politiker
1110 Högre ämbetsmän och politiker	2023	31.355038	.25465032	3.6194549	.40286443	.2245349	.73905766	.42318544	1.0278391	.040983684	.73567671	2.8997889	53.549999	39.060001	3.27	46.450001	59.799999	68.32	69.739998	67.470001	66.050003	62.07	70.599998	1 Ledningsarbete	11 Politiskt arbete m.m.	111 Högre ämbetsmän och politiker
1120 Chefstjänstemän i intresseorganisationer	2010	.260777	.081374943		.025698626						.0042440491		64.629997	60.650002		62.07						72.870003		1 Ledningsarbete	11 Politiskt arbete m.m.	112 Chefstjänstemän i intresseorganisationer
1120 Chefstjänstemän i intresseorganisationer	2011	.43627912	.16193715		.030597873						.0084880982		64.629997	60.650002		62.07						72.870003		1 Ledningsarbete	11 Politiskt arbete m.m.	112 Chefstjänstemän i intresseorganisationer
1120 Chefstjänstemän i intresseorganisationer	2012	.6607182	.17504491		.078668386				.00056777161		.022004396	.00056777161	65.199997	60.650002		62.07				76.849998		72.870003	76.849998	1 Ledningsarbete	11 Politiskt arbete m.m.	112 Chefstjänstemän i intresseorganisationer
1120 Chefstjänstemän i intresseorganisationer	2013	2.8794796	.18815267	1.0943986	.11155804				.0015868349		.035520691	.0015868349	11.22	60.650002	5.2600002	62.07				76.849998		72.870003	76.849998	1 Ledningsarbete	11 Politiskt arbete m.m.	112 Chefstjänstemän i intresseorganisationer
1120 Chefstjänstemän i intresseorganisationer	2014	4.7677155	.20126043	1.7457521	.14586468			.0034686117	.01375294		.045316905	.01375294	11.51	60.650002	5.2600002	62.07			76.849998	76.849998		72.870003	76.849998	1 Ledningsarbete	11 Politiskt arbete m.m.	112 Chefstjänstemän i intresseorganisationer
1120 Chefstjänstemän i intresseorganisationer	2015	8.5599051	.21554305	2.3971057	.18448709		.028426275	.0058286269	.024903635	.003553113	.24172652	.08891701	21.16	60.650002	5.2600002	62.07		79.690002	76.849998	76.849998	77.980003	72.870003	76.279999	1 Ledningsarbete	11 Politiskt arbete m.m.	112 Chefstjänstemän i intresseorganisationer
1120 Chefstjänstemän i intresseorganisationer	2016	13.850525	.26759565	2.5821064	.1885543	.050760847	.36817241	.15263104	.04139448	.010067411	.27376813	.59477079	54.119999	60.650002	5.2600002	62.07	71.449997	79.690002	76.849998	76.849998	77.980003	72.870003	79.120003	1 Ledningsarbete	11 Politiskt arbete m.m.	112 Chefstjänstemän i intresseorganisationer
1120 Chefstjänstemän i intresseorganisationer	2017	14.420744	.26937547	2.5988057	.20996934	.070034273	.36822462	.15680212	.044309236	.01453791	.28505456	.59851754	58.099998	60.650002	5.2600002	62.07	71.449997	79.690002	76.849998	76.849998	77.980003	72.870003	79.120003	1 Ledningsarbete	11 Politiskt arbete m.m.	112 Chefstjänstemän i intresseorganisationer
1120 Chefstjänstemän i intresseorganisationer	2018	16.926134	.26952463	2.9773095	.22240853	.070070282	.43540135	.16481966	.10519385	.020128366	.31357729	.85441244	58.950001	60.650002	5.2600002	62.07	71.449997	79.690002	76.849998	76.849998	77.980003	72.870003	78.269997	1 Ledningsarbete	11 Politiskt arbete m.m.	112 Chefstjänstemän i intresseorganisationer
1120 Chefstjänstemän i intresseorganisationer	2019	22.128151	.26960289	3.7443638	.29223004	.075614646	.48563105	.22197115	.15077747	.038936455	.37375981	1.0458717	59.799999	60.650002	5.2600002	62.07	71.449997	79.690002	76.849998	76.849998	77.980003	72.870003	77.699997	1 Ledningsarbete	11 Politiskt arbete m.m.	112 Chefstjänstemän i intresseorganisationer
1120 Chefstjänstemän i intresseorganisationer	2020	24.853039	.26964068	3.7678962	.35714903	.089825004	.58352482	.2249973	.37080112	.043030802	.42080641	1.6571443	61.509998	60.650002	5.2600002	62.07	71.449997	79.690002	76.849998	76.849998	77.980003	72.870003	76.559998	1 Ledningsarbete	11 Politiskt arbete m.m.	112 Chefstjänstemän i intresseorganisationer
1120 Chefstjänstemän i intresseorganisationer	2021	27.338873	.26972711	3.7714844	.4222807	.15899542	.75086284	.23765108	.44509375	.044847779	.44419542	2.1216452	63.779999	60.650002	5.2600002	62.07	71.449997	79.690002	76.849998	76.849998	77.980003	72.870003	76.559998	1 Ledningsarbete	11 Politiskt arbete m.m.	112 Chefstjänstemän i intresseorganisationer
1120 Chefstjänstemän i intresseorganisationer	2022	30.00909	.2697272	3.7825072	.43633059	.18131581	.78509218	.28181899	.87232667	.045727853	.47765478	2.8248279	63.779999	60.650002	5.2600002	62.07	71.449997	79.690002	76.849998	76.849998	77.980003	72.870003	76.279999	1 Ledningsarbete	11 Politiskt arbete m.m.	112 Chefstjänstemän i intresseorganisationer
