taxonomy,year,level,code,value
ssyk2012,2023,1,0,14338
ssyk2012,2023,1,1,333614
ssyk2012,2023,1,2,1303353
ssyk2012,2023,1,3,672993
ssyk2012,2023,1,4,401274
ssyk2012,2023,1,5,1095915
ssyk2012,2023,1,6,47244
ssyk2012,2023,1,7,445323
ssyk2012,2023,1,8,341160
ssyk2012,2023,1,9,291476
ssyk2012,2023,2,01,2853
ssyk2012,2023,2,02,5477
ssyk2012,2023,2,03,6008
ssyk2012,2023,2,11,22856
ssyk2012,2023,2,12,111919
ssyk2012,2023,2,13,92922
ssyk2012,2023,2,14,18717
ssyk2012,2023,2,15,52139
ssyk2012,2023,2,16,5811
ssyk2012,2023,2,17,29250
ssyk2012,2023,2,21,183489
ssyk2012,2023,2,22,220889
ssyk2012,2023,2,23,324825
ssyk2012,2023,2,24,266244
ssyk2012,2023,2,25,181729
ssyk2012,2023,2,26,126177
ssyk2012,2023,2,31,161744
ssyk2012,2023,2,32,40021
ssyk2012,2023,2,33,336632
ssyk2012,2023,2,34,79852
ssyk2012,2023,2,35,54744
ssyk2012,2023,2,41,178346
ssyk2012,2023,2,42,75415
ssyk2012,2023,2,43,124922
ssyk2012,2023,2,44,22591
ssyk2012,2023,2,51,164223
ssyk2012,2023,2,52,275320
ssyk2012,2023,2,53,611598
ssyk2012,2023,2,54,44774
ssyk2012,2023,2,61,43154
ssyk2012,2023,2,62,4090
ssyk2012,2023,2,71,197316
ssyk2012,2023,2,72,155699
ssyk2012,2023,2,73,9593
ssyk2012,2023,2,74,60438
ssyk2012,2023,2,75,13025
ssyk2012,2023,2,76,9252
ssyk2012,2023,2,81,115179
ssyk2012,2023,2,82,58453
ssyk2012,2023,2,83,167528
ssyk2012,2023,2,91,104732
ssyk2012,2023,2,92,4562
ssyk2012,2023,2,93,25315
ssyk2012,2023,2,94,104826
ssyk2012,2023,2,95,270
ssyk2012,2023,2,96,51771
ssyk2012,2023,3,011,2853
ssyk2012,2023,3,021,5477
ssyk2012,2023,3,031,6008
ssyk2012,2023,3,111,2361
ssyk2012,2023,3,112,20495
ssyk2012,2023,3,121,20198
ssyk2012,2023,3,122,10381
ssyk2012,2023,3,123,10568
ssyk2012,2023,3,124,4963
ssyk2012,2023,3,125,37344
ssyk2012,2023,3,129,28465
ssyk2012,2023,3,131,15297
ssyk2012,2023,3,132,13744
ssyk2012,2023,3,133,6861
ssyk2012,2023,3,134,14315
ssyk2012,2023,3,135,4612
ssyk2012,2023,3,136,20489
ssyk2012,2023,3,137,16605
ssyk2012,2023,3,138,999
ssyk2012,2023,3,141,13249
ssyk2012,2023,3,142,4330
ssyk2012,2023,3,149,1138
ssyk2012,2023,3,151,14310
ssyk2012,2023,3,152,5804
ssyk2012,2023,3,153,11146
ssyk2012,2023,3,154,899
ssyk2012,2023,3,159,19980
ssyk2012,2023,3,161,5811
ssyk2012,2023,3,171,2151
ssyk2012,2023,3,172,8860
ssyk2012,2023,3,173,8939
ssyk2012,2023,3,174,1670
ssyk2012,2023,3,179,7630
ssyk2012,2023,3,211,7536
ssyk2012,2023,3,212,2439
ssyk2012,2023,3,213,8711
ssyk2012,2023,3,214,120836
ssyk2012,2023,3,216,13784
ssyk2012,2023,3,217,19075
ssyk2012,2023,3,218,11108
ssyk2012,2023,3,221,48291
ssyk2012,2023,3,222,92342
ssyk2012,2023,3,223,24652
ssyk2012,2023,3,224,11383
ssyk2012,2023,3,225,3105
ssyk2012,2023,3,226,7662
ssyk2012,2023,3,227,22487
ssyk2012,2023,3,228,10967
ssyk2012,2023,3,231,39848
ssyk2012,2023,3,232,12247
ssyk2012,2023,3,233,30461
ssyk2012,2023,3,234,202972
ssyk2012,2023,3,235,39297
ssyk2012,2023,3,241,61259
ssyk2012,2023,3,242,153070
ssyk2012,2023,3,243,51915
ssyk2012,2023,3,251,181729
ssyk2012,2023,3,261,28363
ssyk2012,2023,3,262,12159
ssyk2012,2023,3,264,15415
ssyk2012,2023,3,265,13373
ssyk2012,2023,3,266,52930
ssyk2012,2023,3,267,3937
ssyk2012,2023,3,311,126846
ssyk2012,2023,3,312,29377
ssyk2012,2023,3,315,5521
ssyk2012,2023,3,321,32732
ssyk2012,2023,3,323,164
ssyk2012,2023,3,324,3297
ssyk2012,2023,3,325,3828
ssyk2012,2023,3,331,64130
