taxonomy,level,code,label,year,n_children,daioe_allapps,daioe_stratgames,daioe_videogames,daioe_imgrec,daioe_imgcompr,daioe_imggen,daioe_readcompr,daioe_lngmod,daioe_translat,daioe_speechrec,daioe_genai,pct_rank_allapps,pct_rank_stratgames,pct_rank_videogames,pct_rank_imgrec,pct_rank_imgcompr,pct_rank_imggen,pct_rank_readcompr,pct_rank_lngmod,pct_rank_translat,pct_rank_speechrec,pct_rank_genai
ssyk2012,1,,Armed forces occupations,2010,3,,,,,,,,,,,,,,,,,,,,,,
ssyk2012,1,,Armed forces occupations,2011,3,,,,,,,,,,,,,,,,,,,,,,
ssyk2012,1,,Armed forces occupations,2012,3,,,,,,,,,,,,,,,,,,,,,,
ssyk2012,1,,Armed forces occupations,2013,3,,,,,,,,,,,,,,,,,,,,,,
ssyk2012,1,,Armed forces occupations,2014,3,,,,,,,,,,,,,,,,,,,,,,
ssyk2012,1,,Armed forces occupations,2015,3,,,,,,,,,,,,,,,,,,,,,,
ssyk2012,1,,Armed forces occupations,2016,3,,,,,,,,,,,,,,,,,,,,,,
ssyk2012,1,,Armed forces occupations,2017,3,,,,,,,,,,,,,,,,,,,,,,
ssyk2012,1,,Armed forces occupations,2018,3,,,,,,,,,,,,,,,,,,,,,,
ssyk2012,1,,Armed forces occupations,2019,3,,,,,,,,,,,,,,,,,,,,,,
ssyk2012,1,,Armed forces occupations,2020,3,,,,,,,,,,,,,,,,,,,,,,
ssyk2012,1,,Armed forces occupations,2021,3,,,,,,,,,,,,,,,,,,,,,,
ssyk2012,1,,Armed forces occupations,2022,3,,,,,,,,,,,,,,,,,,,,,,
ssyk2012,1,,Armed forces occupations,2023,3,,,,,,,,,,,,,,,,,,,,,,
ssyk2012,1,1,Managers,2010,7,0.2605544292857143,0.08195656391071428,,0.025628009625,,,,,,0.004125310680357143,,0.6666666666666666,0.6666666666666666,,0.6666666666666666,,,,,,0.7777777777777778,
